           x [mm]           y [mm]           z [mm]       SAR [W/kg]
              103              -61               75                0
              108              -61               75                0
              113              -61               75                0
              118              -61               75                0
              123              -61               75                0
             -127              -56               75                0
             -122              -56               75                0
             -117              -56               75                0
             -112              -56               75                0
             -107              -56               75                0
             -102              -56               75                0
              -97              -56               75                0
              -92              -56               75                0
              -87              -56               75                0
              -82              -56               75                0
              -77              -56               75                0
              -72              -56               75                0
              -67              -56               75      0.084344335
              -62              -56               75       0.12448525
              -57              -56               75      0.066135362
              -52              -56               75      0.082844667
              -47              -56               75       0.10330673
              -42              -56               75       0.11554495
              -37              -56               75       0.10746563
              -32              -56               75       0.08661408
              -27              -56               75      0.065038711
              -22              -56               75      0.048279822
              -17              -56               75      0.036979888
              -12              -56               75      0.027140938
               -7              -56               75      0.018871035
               -2              -56               75      0.014728903
                3              -56               75      0.013971356
                8              -56               75      0.016474526
               13              -56               75      0.022960702
               18              -56               75      0.031872567
               23              -56               75      0.042750046
               28              -56               75      0.059447546
               33              -56               75      0.077597246
               38              -56               75      0.088967785
               43              -56               75       0.09390571
               48              -56               75      0.082886182
               53              -56               75      0.063439101
               58              -56               75      0.080130585
               63              -56               75       0.11140848
               68              -56               75      0.087199166
               73              -56               75                0
               78              -56               75                0
               83              -56               75                0
               88              -56               75                0
               93              -56               75                0
               98              -56               75                0
              103              -56               75                0
              108              -56               75                0
              113              -56               75                0
              118              -56               75                0
              123              -56               75                0
             -127              -51               75                0
             -122              -51               75                0
             -117              -51               75                0
             -112              -51               75                0
             -107              -51               75                0
             -102              -51               75                0
              -97              -51               75                0
              -92              -51               75                0
              -87              -51               75                0
              -82              -51               75                0
              -77              -51               75                0
              -72              -51               75      0.072883919
              -67              -51               75      0.098427877
              -62              -51               75      0.091481477
              -57              -51               75      0.075790912
              -52              -51               75       0.10602103
              -47              -51               75       0.12908168
              -42              -51               75       0.13524467
              -37              -51               75       0.11836055
              -32              -51               75      0.090733416
              -27              -51               75      0.069348752
              -22              -51               75      0.053051196
              -17              -51               75      0.041565847
              -12              -51               75      0.031532511
               -7              -51               75      0.023141768
               -2              -51               75      0.018656259
                3              -51               75      0.017780522
                8              -51               75      0.020522794
               13              -51               75      0.027055355
               18              -51               75      0.036124766
               23              -51               75      0.047482796
               28              -51               75      0.063849539
               33              -51               75      0.085216075
               38              -51               75       0.10445025
               43              -51               75       0.11848911
               48              -51               75       0.11176181
               53              -51               75      0.089573205
               58              -51               75      0.072246946
               63              -51               75       0.12774774
               68              -51               75       0.10059994
               73              -51               75                0
               78              -51               75                0
               83              -51               75                0
               88              -51               75                0
               93              -51               75                0
               98              -51               75                0
              103              -51               75                0
              108              -51               75                0
              113              -51               75                0
              118              -51               75                0
              123              -51               75                0
             -127              -46               75                0
             -122              -46               75                0
             -117              -46               75                0
             -112              -46               75                0
             -107              -46               75                0
             -102              -46               75                0
              -97              -46               75                0
              -92              -46               75                0
              -87              -46               75                0
              -82              -46               75                0
              -77              -46               75                0
              -72              -46               75      0.091647707
              -67              -46               75       0.12252921
              -62              -46               75      0.067149818
              -57              -46               75      0.095823288
              -52              -46               75       0.13105619
              -47              -46               75        0.1529503
              -42              -46               75       0.15032177
              -37              -46               75       0.12486117
              -32              -46               75      0.094117954
              -27              -46               75      0.074733883
              -22              -46               75      0.059915945
              -17              -46               75      0.048361756
              -12              -46               75       0.03757963
               -7              -46               75      0.028144311
               -2              -46               75      0.022880862
                3              -46               75      0.021694753
                8              -46               75      0.024772322
               13              -46               75      0.031572051
               18              -46               75      0.041096415
               23              -46               75      0.053145193
               28              -46               75      0.069138318
               33              -46               75      0.089225844
               38              -46               75       0.11362468
               43              -46               75       0.13573007
               48              -46               75        0.1370374
               53              -46               75       0.11785465
               58              -46               75      0.091903806
               63              -46               75       0.11835906
               68              -46               75       0.12108752
               73              -46               75                0
               78              -46               75                0
               83              -46               75                0
               88              -46               75                0
               93              -46               75                0
               98              -46               75                0
              103              -46               75                0
              108              -46               75                0
              113              -46               75                0
              118              -46               75                0
              123              -46               75                0
             -127              -41               75                0
             -122              -41               75                0
             -117              -41               75                0
             -112              -41               75                0
             -107              -41               75                0
             -102              -41               75                0
              -97              -41               75                0
              -92              -41               75                0
              -87              -41               75                0
              -82              -41               75                0
              -77              -41               75                0
              -72              -41               75       0.10467037
              -67              -41               75       0.13505037
              -62              -41               75      0.081555106
              -57              -41               75       0.11099037
              -52              -41               75       0.14395137
              -47              -41               75       0.16087018
              -42              -41               75        0.1473009
              -37              -41               75       0.12124845
              -32              -41               75      0.098858148
              -27              -41               75      0.082320444
              -22              -41               75        0.0682754
              -17              -41               75      0.056290671
              -12              -41               75      0.044453029
               -7              -41               75      0.033519018
               -2              -41               75      0.027171509
                3              -41               75      0.025867233
                8              -41               75      0.029578747
               13              -41               75      0.037554473
               18              -41               75      0.048376627
               23              -41               75      0.061002955
               28              -41               75      0.076467149
               33              -41               75      0.094238713
               38              -41               75       0.11594818
               43              -41               75       0.14250571
               48              -41               75        0.1542452
               53              -41               75       0.14017804
               58              -41               75       0.11053029
               63              -41               75      0.087036073
               68              -41               75       0.14528942
               73              -41               75        0.1192856
               78              -41               75                0
               83              -41               75                0
               88              -41               75                0
               93              -41               75                0
               98              -41               75                0
              103              -41               75                0
              108              -41               75                0
              113              -41               75                0
              118              -41               75                0
              123              -41               75                0
             -127              -36               75                0
             -122              -36               75                0
             -117              -36               75                0
             -112              -36               75                0
             -107              -36               75                0
             -102              -36               75                0
              -97              -36               75                0
              -92              -36               75                0
              -87              -36               75                0
              -82              -36               75                0
              -77              -36               75                0
              -72              -36               75       0.12000699
              -67              -36               75       0.12604818
              -62              -36               75       0.10077606
              -57              -36               75        0.1346397
              -52              -36               75       0.16730128
              -47              -36               75       0.17459886
              -42              -36               75       0.15110505
              -37              -36               75       0.12468301
              -32              -36               75       0.10384791
              -27              -36               75      0.090523086
              -22              -36               75      0.077661842
              -17              -36               75      0.065466546
              -12              -36               75      0.052493915
               -7              -36               75      0.039233182
               -2              -36               75      0.031345107
                3              -36               75      0.029944601
                8              -36               75      0.034792267
               13              -36               75      0.045348253
               18              -36               75      0.058006048
               23              -36               75      0.070843324
               28              -36               75      0.085038833
               33              -36               75       0.10070103
               38              -36               75       0.12033771
               43              -36               75       0.14722036
               48              -36               75       0.16924311
               53              -36               75         0.165886
               58              -36               75       0.13693449
               63              -36               75       0.10903317
               68              -36               75       0.15522712
               73              -36               75       0.12696943
               78              -36               75                0
               83              -36               75                0
               88              -36               75                0
               93              -36               75                0
               98              -36               75                0
              103              -36               75                0
              108              -36               75                0
              113              -36               75                0
              118              -36               75                0
              123              -36               75                0
             -127              -31               75                0
             -122              -31               75                0
             -117              -31               75                0
             -112              -31               75                0
             -107              -31               75                0
             -102              -31               75                0
              -97              -31               75                0
              -92              -31               75                0
              -87              -31               75                0
              -82              -31               75                0
              -77              -31               75                0
              -72              -31               75       0.12920696
              -67              -31               75       0.10558656
              -62              -31               75       0.11758222
              -57              -31               75       0.15379675
              -52              -31               75       0.18608582
              -47              -31               75       0.18680419
              -42              -31               75        0.1575488
              -37              -31               75       0.13135579
              -32              -31               75       0.11141781
              -27              -31               75      0.099257305
              -22              -31               75      0.087473579
              -17              -31               75      0.074833952
              -12              -31               75      0.060839772
               -7              -31               75      0.045520429
               -2              -31               75      0.035698909
                3              -31               75      0.034158625
                8              -31               75      0.041240312
               13              -31               75      0.055408962
               18              -31               75      0.070142932
               23              -31               75       0.08296591
               28              -31               75      0.095128089
               33              -31               75        0.1076443
               38              -31               75       0.12461519
               43              -31               75       0.14819556
               48              -31               75       0.17599301
               53              -31               75       0.18468332
               58              -31               75       0.15936683
               63              -31               75       0.12777871
               68              -31               75       0.12090579
               73              -31               75       0.13497818
               78              -31               75                0
               83              -31               75                0
               88              -31               75                0
               93              -31               75                0
               98              -31               75                0
              103              -31               75                0
              108              -31               75                0
              113              -31               75                0
              118              -31               75                0
              123              -31               75                0
             -127              -26               75                0
             -122              -26               75                0
             -117              -26               75                0
             -112              -26               75                0
             -107              -26               75                0
             -102              -26               75                0
              -97              -26               75                0
              -92              -26               75                0
              -87              -26               75                0
              -82              -26               75                0
              -77              -26               75      0.097423896
              -72              -26               75       0.13421935
              -67              -26               75      0.097095288
              -62              -26               75       0.13014515
              -57              -26               75       0.16731107
              -52              -26               75       0.19811723
              -47              -26               75       0.19477183
              -42              -26               75       0.16559115
              -37              -26               75       0.14064363
              -32              -26               75       0.12109121
              -27              -26               75       0.10816082
              -22              -26               75      0.095779479
              -17              -26               75      0.082120895
              -12              -26               75      0.067495018
               -7              -26               75      0.051551245
               -2              -26               75       0.04062001
                3              -26               75      0.039065134
                8              -26               75      0.048066631
               13              -26               75      0.064224079
               18              -26               75      0.079655066
               23              -26               75      0.092397265
               28              -26               75       0.10360073
               33              -26               75       0.11455788
               38              -26               75       0.13013485
               43              -26               75       0.15312919
               48              -26               75       0.17999214
               53              -26               75       0.19671366
               58              -26               75       0.17424902
               63              -26               75       0.13730036
               68              -26               75       0.11080518
               73              -26               75       0.13951057
               78              -26               75       0.10678782
               83              -26               75                0
               88              -26               75                0
               93              -26               75                0
               98              -26               75                0
              103              -26               75                0
              108              -26               75                0
              113              -26               75                0
              118              -26               75                0
              123              -26               75                0
             -127              -21               75                0
             -122              -21               75                0
             -117              -21               75                0
             -112              -21               75                0
             -107              -21               75                0
             -102              -21               75                0
              -97              -21               75                0
              -92              -21               75                0
              -87              -21               75                0
              -82              -21               75                0
              -77              -21               75      0.097486213
              -72              -21               75       0.13749257
              -67              -21               75       0.10067073
              -62              -21               75       0.13911247
              -57              -21               75        0.1796291
              -52              -21               75       0.21294153
              -47              -21               75       0.20960747
              -42              -21               75        0.1785666
              -37              -21               75       0.15171893
              -32              -21               75       0.13128699
              -27              -21               75        0.1157816
              -22              -21               75        0.1018601
              -17              -21               75      0.087538257
              -12              -21               75      0.072533198
               -7              -21               75      0.057049576
               -2              -21               75      0.046209265
                3              -21               75      0.044839792
                8              -21               75      0.054620501
               13              -21               75      0.070780881
               18              -21               75      0.085788906
               23              -21               75      0.099259436
               28              -21               75       0.11029729
               33              -21               75        0.1217683
               38              -21               75       0.13758175
               43              -21               75       0.15972823
               48              -21               75       0.18294354
               53              -21               75       0.20645182
               58              -21               75       0.18524666
               63              -21               75       0.14575852
               68              -21               75       0.11255931
               73              -21               75       0.13951059
               78              -21               75       0.10734714
               83              -21               75                0
               88              -21               75                0
               93              -21               75                0
               98              -21               75                0
              103              -21               75                0
              108              -21               75                0
              113              -21               75                0
              118              -21               75                0
              123              -21               75                0
             -127              -16               75                0
             -122              -16               75                0
             -117              -16               75                0
             -112              -16               75                0
             -107              -16               75                0
             -102              -16               75                0
              -97              -16               75                0
              -92              -16               75                0
              -87              -16               75                0
              -82              -16               75                0
              -77              -16               75      0.095487706
              -72              -16               75       0.13752705
              -67              -16               75      0.098294586
              -62              -16               75       0.14285697
              -57              -16               75       0.18426153
              -52              -16               75       0.22140826
              -47              -16               75       0.22288834
              -42              -16               75       0.18882169
              -37              -16               75       0.16134928
              -32              -16               75       0.13992634
              -27              -16               75       0.12186414
              -22              -16               75        0.1061804
              -17              -16               75      0.090247691
              -12              -16               75      0.074783683
               -7              -16               75      0.060248572
               -2              -16               75      0.050213683
                3              -16               75      0.048906412
                8              -16               75      0.058378235
               13              -16               75      0.073431812
               18              -16               75      0.087817997
               23              -16               75       0.10284064
               28              -16               75       0.11590444
               33              -16               75       0.12970275
               38              -16               75       0.14644945
               43              -16               75       0.16642372
               48              -16               75       0.18543968
               53              -16               75       0.20874238
               58              -16               75       0.18505768
               63              -16               75       0.14505768
               68              -16               75       0.11028077
               73              -16               75       0.13951057
               78              -16               75        0.1067692
               83              -16               75                0
               88              -16               75                0
               93              -16               75                0
               98              -16               75                0
              103              -16               75                0
              108              -16               75                0
              113              -16               75                0
              118              -16               75                0
              123              -16               75                0
             -127              -11               75                0
             -122              -11               75                0
             -117              -11               75                0
             -112              -11               75                0
             -107              -11               75                0
             -102              -11               75                0
              -97              -11               75                0
              -92              -11               75                0
              -87              -11               75                0
              -82              -11               75                0
              -77              -11               75      0.093456469
              -72              -11               75       0.13752705
              -67              -11               75       0.09509486
              -62              -11               75        0.1404804
              -57              -11               75       0.18020879
              -52              -11               75        0.2178967
              -47              -11               75       0.22728051
              -42              -11               75       0.19610564
              -37              -11               75       0.17056984
              -32              -11               75       0.14912438
              -27              -11               75       0.12860984
              -22              -11               75       0.10908766
              -17              -11               75      0.091120332
              -12              -11               75      0.075418994
               -7              -11               75      0.062084183
               -2              -11               75      0.053030655
                3              -11               75      0.051447775
                8              -11               75      0.059506487
               13              -11               75      0.072121829
               18              -11               75      0.085628688
               23              -11               75       0.10265979
               28              -11               75       0.11955832
               33              -11               75        0.1372405
               38              -11               75       0.15578112
               43              -11               75       0.17523293
               48              -11               75       0.19159853
               53              -11               75       0.21193263
               58              -11               75       0.18569368
               63              -11               75       0.14404313
               68              -11               75       0.10789567
               73              -11               75        0.1436663
               78              -11               75        0.1065264
               83              -11               75                0
               88              -11               75                0
               93              -11               75                0
               98              -11               75                0
              103              -11               75                0
              108              -11               75                0
              113              -11               75                0
              118              -11               75                0
              123              -11               75                0
             -127               -6               75                0
             -122               -6               75                0
             -117               -6               75                0
             -112               -6               75                0
             -107               -6               75                0
             -102               -6               75                0
              -97               -6               75                0
              -92               -6               75                0
              -87               -6               75                0
              -82               -6               75                0
              -77               -6               75       0.09240593
              -72               -6               75       0.13752705
              -67               -6               75      0.092074588
              -62               -6               75       0.13445374
              -57               -6               75       0.17123012
              -52               -6               75       0.21080562
              -47               -6               75       0.23073269
              -42               -6               75       0.20346496
              -37               -6               75       0.17998454
              -32               -6               75       0.15854132
              -27               -6               75       0.13423714
              -22               -6               75       0.11085428
              -17               -6               75      0.091090888
              -12               -6               75      0.074617594
               -7               -6               75      0.061332449
               -2               -6               75      0.052879632
                3               -6               75      0.051131047
                8               -6               75      0.057878997
               13               -6               75      0.068827078
               18               -6               75      0.082313791
               23               -6               75       0.10099071
               28               -6               75       0.12160321
               33               -6               75       0.14343661
               38               -6               75       0.16350758
               43               -6               75       0.18266974
               48               -6               75       0.19720736
               53               -6               75       0.21682405
               58               -6               75       0.18948084
               63               -6               75       0.14742194
               68               -6               75       0.11153772
               73               -6               75       0.15166539
               78               -6               75       0.10962878
               83               -6               75                0
               88               -6               75                0
               93               -6               75                0
               98               -6               75                0
              103               -6               75                0
              108               -6               75                0
              113               -6               75                0
              118               -6               75                0
              123               -6               75                0
             -127               -1               75                0
             -122               -1               75                0
             -117               -1               75                0
             -112               -1               75                0
             -107               -1               75                0
             -102               -1               75                0
              -97               -1               75                0
              -92               -1               75                0
              -87               -1               75                0
              -82               -1               75                0
              -77               -1               75       0.09306132
              -72               -1               75       0.13309336
              -67               -1               75         0.102768
              -62               -1               75       0.13283174
              -57               -1               75       0.16839847
              -52               -1               75       0.21096651
              -47               -1               75        0.2363755
              -42               -1               75       0.20966837
              -37               -1               75       0.18768452
              -32               -1               75       0.16527644
              -27               -1               75       0.13816586
              -22               -1               75       0.11208801
              -17               -1               75      0.090409391
              -12               -1               75      0.073091999
               -7               -1               75      0.058949798
               -2               -1               75      0.050053101
                3               -1               75      0.048034623
                8               -1               75      0.054697987
               13               -1               75      0.066487521
               18               -1               75      0.081512026
               23               -1               75       0.10109282
               28               -1               75       0.12424525
               33               -1               75       0.14859959
               38               -1               75       0.16922092
               43               -1               75       0.18765391
               48               -1               75       0.20196231
               53               -1               75       0.22218557
               58               -1               75       0.19475874
               63               -1               75       0.15245076
               68               -1               75       0.11638282
               73               -1               75       0.15561236
               78               -1               75       0.11372109
               83               -1               75                0
               88               -1               75                0
               93               -1               75                0
               98               -1               75                0
              103               -1               75                0
              108               -1               75                0
              113               -1               75                0
              118               -1               75                0
              123               -1               75                0
             -127                4               75                0
             -122                4               75                0
             -117                4               75                0
             -112                4               75                0
             -107                4               75                0
             -102                4               75                0
              -97                4               75                0
              -92                4               75                0
              -87                4               75                0
              -82                4               75                0
              -77                4               75                0
              -72                4               75       0.13110042
              -67                4               75       0.12299293
              -62                4               75       0.12487169
              -57                4               75       0.16082469
              -52                4               75       0.20454887
              -47                4               75       0.23683293
              -42                4               75       0.21837056
              -37                4               75       0.19611989
              -32                4               75        0.1708706
              -27                4               75       0.14060132
              -22                4               75       0.11206207
              -17                4               75      0.089173168
              -12                4               75      0.071389355
               -7                4               75      0.056579981
               -2                4               75      0.047175784
                3                4               75      0.044927564
                8                4               75      0.051926393
               13                4               75      0.064543582
               18                4               75      0.080664776
               23                4               75      0.099961773
               28                4               75       0.12486286
               33                4               75       0.15241858
               38                4               75       0.17430839
               43                4               75       0.19334698
               48                4               75       0.20817941
